initial_conditions,termination_time,termination_reason
"(1.80476, 2.64468, 0, 0)",37.50975164363889,Large deviation
"(0.43911, 2.49841, 0, 0)",99.93323956169861,Large deviation
"(0.51606, 2.55906, 0, 0)",30.031458773806204,Large deviation
"(2.08978, 1.64326, 0, 0)",42.54274140022564,Large deviation
"(1.1273, 2.75581, 0, 0)",18.690987562244914,Large deviation
"(1.2329, 2.56542, 0, 0)",17.043719843304054,Large deviation
"(2.34868, 1.57934, 0, 0)",45.92913984695534,Large deviation
"(0.72952, 2.8261, 0, 0)",29.06306622969169,Large deviation
"(1.20603, 1.70762, 0, 0)",65.34128692380575,Large deviation
"(1.972, 1.05214, 0, 0)",29.42362545351274,Large deviation
"(0.43754, 2.4945, 0, 0)",97.59064730555404,Large deviation
"(1.94802, 1.67592, 0, 0)",50.03955200240502,Large deviation
"(1.07468, 2.58006, 0, 0)",31.71388988185126,Large deviation
"(0.78065, 2.33718, 0, 0)",109.84989563912436,Large deviation
"(0.34756, 2.65921, 0, 0)",59.821909957473096,Large deviation
"(2.50478, 0.47098, 0, 0)",28.42664172193261,Large deviation
"(0.72021, 2.26902, 0, 0)",79.5184344268094,Large deviation
"(2.1801, 1.70502, 0, 0)",34.17486816826166,Large deviation
"(0.57051, 2.85398, 0, 0)",75.69204598853565,Large deviation
"(1.45143, 2.97598, 0, 0)",10.240728786193495,Large deviation
"(1.83278, 1.25931, 0, 0)",75.5584463672086,Large deviation
"(1.5893, 1.92094, 0, 0)",23.271064237514892,Large deviation
"(2.22186, 0.47922, 0, 0)",16.164575301746737,Large deviation
"(1.81046, 1.90605, 0, 0)",9.203596014306257,Large deviation
"(1.33245, 2.31361, 0, 0)",18.522444825926996,Large deviation
"(0.39164, 2.89291, 0, 0)",61.46477822461164,Large deviation
"(1.85755, 1.2535, 0, 0)",85.91980969976191,Large deviation
"(2.52224, 0.01455, 0, 0)",43.12942561739223,Large deviation
"(1.68828, 2.88981, 0, 0)",32.95974260182437,Large deviation
"(2.31693, 1.42068, 0, 0)",29.65934137860375,Large deviation
"(1.82397, 1.98632, 0, 0)",45.82071926611331,Large deviation
"(0.55932, 3.01929, 0, 0)",23.859882452074643,Large deviation
"(1.57769, 1.87046, 0, 0)",15.25353750190753,Large deviation
"(0.26813, 3.13177, 0, 0)",76.25811727064443,Large deviation
"(0.65944, 2.82132, 0, 0)",91.71866115828801,Large deviation
"(2.43639, 1.42405, 0, 0)",35.44145540528864,Large deviation
"(1.7745, 0.20643, 0, 0)",104.38260739500878,Large deviation
