initial_conditions,termination_time,termination_reason
"(0.69495, 3.10285, 0, 0)",17.94559763384313,Large deviation
"(2.19101, 0.93415, 0, 0)",62.06691456169856,Large deviation
"(1.00248, 2.60411, 0, 0)",56.66557184140067,Large deviation
"(1.06775, 2.27692, 0, 0)",67.31238306201558,Large deviation
"(1.69486, 2.48413, 0, 0)",64.65606596156769,Large deviation
"(2.41019, 1.2627, 0, 0)",30.085763994299814,Large deviation
"(1.50757, 1.97137, 0, 0)",59.25301081519765,Large deviation
"(2.4136, 1.31245, 0, 0)",36.120310403951024,Large deviation
"(1.32373, 2.31718, 0, 0)",75.92080290982001,Large deviation
"(1.2074, 2.13517, 0, 0)",49.96074216678085,Large deviation
"(0.68566, 2.98439, 0, 0)",102.26230366669796,Large deviation
"(2.47038, 0.28089, 0, 0)",58.78292781864684,Large deviation
"(1.31187, 2.76183, 0, 0)",35.991117313067335,Large deviation
"(1.90926, 1.61066, 0, 0)",75.97022655219098,Large deviation
"(2.44914, 1.09995, 0, 0)",32.731522401942165,Large deviation
"(2.18661, 0.48348, 0, 0)",50.72282907326497,Large deviation
"(1.24483, 2.38208, 0, 0)",104.26512057366617,Large deviation
"(2.56302, 0.7051, 0, 0)",55.4252657578801,Large deviation
"(1.86278, 1.82239, 0, 0)",66.14500134035144,Large deviation
"(2.0585, 1.73057, 0, 0)",69.91343065778824,Large deviation
"(2.27269, 1.55784, 0, 0)",67.12808872332585,Large deviation
"(2.14652, 0.23917, 0, 0)",67.96737804846805,Large deviation
"(2.59081, 1.09267, 0, 0)",60.284425990661845,Large deviation
"(1.50981, 1.8611, 0, 0)",100.1261182474834,Large deviation
"(2.13005, 1.7773, 0, 0)",42.26790638589148,Large deviation
"(1.94342, 2.36473, 0, 0)",37.46541222075605,Large deviation
"(2.59438, 0.40486, 0, 0)",48.301046001584446,Large deviation
"(1.05281, 2.3358, 0, 0)",65.76156448115957,Large deviation
"(1.99179, 1.69641, 0, 0)",42.661443075368894,Large deviation
"(1.9849, 0.8162, 0, 0)",104.5567116272589,Large deviation
"(2.44996, 0.33609, 0, 0)",60.1097173453366,Large deviation
"(0.32204, 2.94439, 0, 0)",109.56501825440584,Large deviation
"(0.9455, 2.22479, 0, 0)",49.9869247460445,Large deviation
"(2.16106, 0.21312, 0, 0)",96.19381215156575,Large deviation
"(0.1437, 2.73801, 0, 0)",91.7187402087983,Large deviation
"(2.3551, 0.40868, 0, 0)",58.499353622737424,Large deviation
"(2.38215, 0.07724, 0, 0)",37.91276382700629,Large deviation
"(1.53512, 2.42031, 0, 0)",62.924233112374445,Large deviation
"(2.14664, 1.40084, 0, 0)",48.164998495315295,Large deviation
"(0.85962, 3.13256, 0, 0)",110.41232246145599,Large deviation
"(0.51404, 2.49697, 0, 0)",116.80233302929403,Large deviation
"(2.17927, 0.69357, 0, 0)",88.05962775849851,Large deviation
"(1.35822, 2.96446, 0, 0)",57.108633902031926,Large deviation
"(2.05621, 0.85847, 0, 0)",83.49863709376837,Large deviation
"(1.31861, 2.00599, 0, 0)",116.76311999602814,Large deviation
"(2.04727, 1.15776, 0, 0)",71.60404042886007,Large deviation
"(2.15377, 1.35185, 0, 0)",44.90524799977449,Large deviation
"(0.84507, 2.50561, 0, 0)",70.59500353474711,Large deviation
"(2.44997, 0.12447, 0, 0)",74.27685959869636,Large deviation
"(1.94199, 2.20686, 0, 0)",54.58059051531849,Large deviation
"(1.78298, 2.16602, 0, 0)",55.70088550108221,Large deviation
"(2.51512, 0.62879, 0, 0)",70.08419888114976,Large deviation
"(1.9994, 2.21946, 0, 0)",45.23428016889218,Large deviation
"(1.06641, 2.55985, 0, 0)",109.94862275599324,Large deviation
"(1.72031, 2.56762, 0, 0)",78.00199015176449,Large deviation
"(1.421, 2.02186, 0, 0)",86.68351684043341,Large deviation
"(1.65374, 2.29836, 0, 0)",50.83502914773412,Large deviation
"(2.06939, 1.56513, 0, 0)",21.282789169886122,Large deviation
"(0.57214, 2.48091, 0, 0)",89.47349616229394,Large deviation
"(1.74473, 2.25944, 0, 0)",31.44831212669587,Large deviation
"(0.71771, 3.13008, 0, 0)",97.01757466849364,Large deviation
"(2.33328, 1.33673, 0, 0)",54.695725775905466,Large deviation
"(1.37795, 2.27846, 0, 0)",88.50297056782256,Large deviation
"(1.52892, 2.74394, 0, 0)",54.35274398595284,Large deviation
"(1.95711, 1.9841, 0, 0)",60.23147524273625,Large deviation
"(2.30314, 0.41333, 0, 0)",33.707965154166715,Large deviation
"(0.7767, 2.73554, 0, 0)",23.61031045718441,Large deviation
"(2.0632, 1.02161, 0, 0)",57.766165245225366,Large deviation
"(2.42994, 0.41115, 0, 0)",78.02420172143168,Large deviation
"(1.93882, 2.22041, 0, 0)",30.068267139307594,Large deviation
"(2.0854, 1.4911, 0, 0)",48.17824505517047,Large deviation
"(1.83894, 2.72775, 0, 0)",27.265575583034092,Large deviation
"(1.66872, 2.94243, 0, 0)",57.432338113250246,Large deviation
"(1.42063, 2.93385, 0, 0)",77.96439524129782,Large deviation
"(1.42861, 1.61979, 0, 0)",119.00436120334861,Large deviation
"(1.53576, 2.09502, 0, 0)",78.05274950082976,Large deviation
"(0.96739, 2.21382, 0, 0)",99.17719908680476,Large deviation
"(2.11304, 1.39408, 0, 0)",72.10305095388362,Large deviation
"(1.56192, 1.94102, 0, 0)",84.45597983755134,Large deviation
"(1.23736, 2.04591, 0, 0)",85.69096561373632,Large deviation
"(1.78133, 2.31991, 0, 0)",52.4051113673547,Large deviation
"(2.50641, 1.36843, 0, 0)",58.3864500367516,Large deviation
"(2.5693, 0.37765, 0, 0)",41.61157026175883,Large deviation
"(1.24461, 2.18487, 0, 0)",87.7498813454617,Large deviation
"(1.22069, 1.40961, 0, 0)",79.718729072317,Large deviation
"(1.94619, 1.45611, 0, 0)",51.97165346730179,Large deviation
"(1.89579, 2.09925, 0, 0)",81.84638270738792,Large deviation
"(1.63074, 1.50539, 0, 0)",45.50255338685641,Large deviation
"(1.90979, 2.40295, 0, 0)",27.525921150750158,Large deviation
"(1.82267, 1.67636, 0, 0)",85.32033159573584,Large deviation
"(0.76492, 2.91236, 0, 0)",112.54035494881705,Large deviation
"(2.24985, 0.85647, 0, 0)",33.000872866530884,Large deviation
"(1.78226, 0.80602, 0, 0)",35.600033926566006,Large deviation
"(2.22753, 0.33576, 0, 0)",64.97196191760072,Large deviation
"(1.91945, 1.29128, 0, 0)",57.5164933074774,Large deviation
"(2.45209, 0.86333, 0, 0)",52.25036884680836,Large deviation
"(2.58432, 1.33121, 0, 0)",18.90210207339193,Large deviation
"(2.09717, 0.30013, 0, 0)",64.96641892737328,Large deviation
"(1.95991, 1.41927, 0, 0)",36.05950057807846,Large deviation
"(1.84288, 0.52783, 0, 0)",94.65767697009045,Large deviation
"(1.90724, 1.7175, 0, 0)",17.117773768391856,Large deviation
"(1.8676, 1.56064, 0, 0)",61.56047567405939,Large deviation
"(2.18386, 1.2702, 0, 0)",28.007472457933765,Large deviation
"(1.34523, 2.2544, 0, 0)",56.86293689182535,Large deviation
"(1.75233, 2.29541, 0, 0)",67.39596589134092,Large deviation
"(1.76651, 3.00847, 0, 0)",35.911734291527985,Large deviation
"(2.37556, 1.09193, 0, 0)",25.18658108180938,Large deviation
"(1.69633, 2.64533, 0, 0)",59.46007124453336,Large deviation
"(1.63664, 1.95905, 0, 0)",61.80907539738406,Large deviation
"(0.40122, 2.59517, 0, 0)",111.23701944923295,Large deviation
"(1.88682, 1.62005, 0, 0)",49.77661118576631,Large deviation
"(0.65506, 2.92355, 0, 0)",60.145359303032826,Large deviation
"(2.48195, 0.95718, 0, 0)",53.36656430121472,Large deviation
"(1.0873, 3.06497, 0, 0)",47.61353994634405,Large deviation
"(1.9046, 2.40272, 0, 0)",50.7632794315529,Large deviation
"(2.01322, 0.6787, 0, 0)",49.47071812141385,Large deviation
"(1.94649, 2.04267, 0, 0)",41.24817718325282,Large deviation
"(2.45283, 1.44451, 0, 0)",53.76456565740425,Large deviation
"(2.17449, 0.1957, 0, 0)",23.730787763597146,Large deviation
"(1.6004, 3.13122, 0, 0)",43.13152755559573,Large deviation
"(2.41684, 0.03466, 0, 0)",46.32709072179442,Large deviation
"(1.30739, 1.51219, 0, 0)",55.20411980099568,Large deviation
"(2.38852, 0.43074, 0, 0)",60.72282620127958,Large deviation
"(1.42747, 2.65263, 0, 0)",49.40953735660176,Large deviation
"(2.31648, 1.49546, 0, 0)",47.91802397127719,Large deviation
"(1.44339, 2.4662, 0, 0)",42.78453159276912,Large deviation
"(2.47213, 0.99088, 0, 0)",23.52789809114506,Large deviation
"(2.16184, 1.37477, 0, 0)",76.46604947686522,Large deviation
"(0.12072, 2.83297, 0, 0)",70.8353572640729,Large deviation
"(1.44977, 2.00183, 0, 0)",57.83120708044603,Large deviation
"(2.00016, 1.92873, 0, 0)",55.01531170700529,Large deviation
