initial_conditions,termination_time,termination_reason
"(0.1437, 2.73801, 0, 0)",116.553253134735,Large deviation
"(2.3551, 0.40868, 0, 0)",63.801877340482505,Large deviation
"(2.38215, 0.07724, 0, 0)",73.19881565896672,Large deviation
"(1.53512, 2.42031, 0, 0)",67.06311524193862,Large deviation
"(2.14664, 1.40084, 0, 0)",52.46428654176398,Large deviation
"(0.85962, 3.13256, 0, 0)",118.70674808450681,Large deviation
"(2.17927, 0.69357, 0, 0)",90.25868502798443,Large deviation
"(2.05621, 0.85847, 0, 0)",90.21139104755883,Large deviation
"(1.35822, 2.96446, 0, 0)",90.28449795032923,Large deviation
"(2.04727, 1.15776, 0, 0)",75.32128774951488,Large deviation
"(2.15377, 1.35185, 0, 0)",89.33740425715867,Large deviation
"(0.84507, 2.50561, 0, 0)",117.55996280305234,Large deviation
"(2.44997, 0.12447, 0, 0)",81.26117203706418,Large deviation
"(2.51512, 0.62879, 0, 0)",76.42007941788027,Large deviation
"(1.06641, 2.55985, 0, 0)",112.76055067476015,Large deviation
"(1.72031, 2.56762, 0, 0)",85.19269805042335,Large deviation
"(1.421, 2.02186, 0, 0)",90.9145845324492,Large deviation
"(1.65374, 2.29836, 0, 0)",53.93655161955872,Large deviation
"(2.06939, 1.56513, 0, 0)",25.354092928070962,Large deviation
"(1.74473, 2.25944, 0, 0)",33.72281109630701,Large deviation
"(0.71771, 3.13008, 0, 0)",101.84076275797918,Large deviation
"(2.33328, 1.33673, 0, 0)",57.393275494094794,Large deviation
"(1.52892, 2.74394, 0, 0)",62.07542145661064,Large deviation
"(1.37795, 2.27846, 0, 0)",94.66671548713619,Large deviation
"(1.95711, 1.9841, 0, 0)",67.78874282538617,Large deviation
"(2.30314, 0.41333, 0, 0)",71.36975863300238,Large deviation
"(0.7767, 2.73554, 0, 0)",117.35200804568676,Large deviation
"(2.0632, 1.02161, 0, 0)",60.622267503152585,Large deviation
"(2.42994, 0.41115, 0, 0)",83.82495285423701,Large deviation
"(2.0854, 1.4911, 0, 0)",80.40522582021855,Large deviation
"(1.66872, 2.94243, 0, 0)",65.42722654488382,Large deviation
"(1.42063, 2.93385, 0, 0)",85.38158197309245,Large deviation
"(1.53576, 2.09502, 0, 0)",84.05325261812995,Large deviation
"(0.96739, 2.21382, 0, 0)",114.98340122197241,Large deviation
"(2.11304, 1.39408, 0, 0)",75.77643672149716,Large deviation
"(1.56192, 1.94102, 0, 0)",89.99713223705628,Large deviation
"(1.23736, 2.04591, 0, 0)",90.33891276467926,Large deviation
"(2.50641, 1.36843, 0, 0)",63.46688095032703,Large deviation
"(2.5693, 0.37765, 0, 0)",45.21691260323972,Large deviation
"(1.22069, 1.40961, 0, 0)",88.32337720053654,Large deviation
"(1.94619, 1.45611, 0, 0)",93.33286067277126,Large deviation
"(1.63074, 1.50539, 0, 0)",69.07413460750807,Large deviation
"(1.82267, 1.67636, 0, 0)",88.98780125112442,Large deviation
"(2.24985, 0.85647, 0, 0)",67.11783146385586,Large deviation
"(2.22753, 0.33576, 0, 0)",73.48575474030237,Large deviation
"(1.78226, 0.80602, 0, 0)",94.99767868946178,Large deviation
"(1.91945, 1.29128, 0, 0)",65.28316939394138,Large deviation
"(2.45209, 0.86333, 0, 0)",59.55705402658916,Large deviation
"(2.58432, 1.33121, 0, 0)",49.89375434969142,Large deviation
"(2.09717, 0.30013, 0, 0)",69.87884778582195,Large deviation
"(1.95991, 1.41927, 0, 0)",39.112398436599705,Large deviation
"(1.90724, 1.7175, 0, 0)",27.913602962951025,Large deviation
"(1.8676, 1.56064, 0, 0)",64.78592439800434,Large deviation
"(2.18386, 1.2702, 0, 0)",30.872344031698987,Large deviation
"(1.34523, 2.2544, 0, 0)",71.78173737367925,Large deviation
"(2.37556, 1.09193, 0, 0)",29.875086617310767,Large deviation
"(1.69633, 2.64533, 0, 0)",62.32079978739802,Large deviation
"(1.63664, 1.95905, 0, 0)",69.81569492867847,Large deviation
"(2.48195, 0.95718, 0, 0)",101.53762323748884,Large deviation
"(1.94649, 2.04267, 0, 0)",48.74916683562258,Large deviation
"(2.45283, 1.44451, 0, 0)",83.2375649039626,Large deviation
"(2.17449, 0.1957, 0, 0)",33.908641129237864,Large deviation
